imgName,x0,y0,semiAx1,semiAx2,rotAngle
img0001.png,140,120,59,24,0
img0002.png,141,119,40,49,0
img0003.png,125,139,34,15,0
img0004.png,150,86,59,48,0
img0005.png,80,134,46,44,0
img0006.png,81,164,26,14,0
img0007.png,111,132,24,34,0
img0008.png,66,108,55,46,0
img0009.png,95,95,15,16,0
img0010.png,98,131,54,12,0
img0011.png,166,166,28,15,0
img0012.png,94,120,51,46,0
img0013.png,81,119,18,45,0
img0014.png,66,144,42,31,0
img0015.png,125,77,13,51,0
img0016.png,147,140,44,19,0
img0017.png,142,157,52,59,0
img0018.png,148,117,47,33,0
img0019.png,66,116,36,14,0
img0020.png,86,151,28,50,0
img0021.png,172,82,52,32,0
img0022.png,69,166,30,30,0
img0023.png,138,167,52,35,0
img0024.png,110,109,44,50,0
img0025.png,104,177,25,27,0
img0026.png,98,159,13,29,0
img0027.png,80,175,12,42,0
img0028.png,178,143,39,40,0
img0029.png,125,81,20,39,0
img0030.png,114,152,17,39,0
img0031.png,172,131,10,42,0
img0032.png,178,117,29,27,0
img0033.png,127,120,25,56,0
img0034.png,71,174,23,28,0
img0035.png,83,109,41,39,0
img0036.png,71,68,14,12,0
img0037.png,130,68,49,10,0
img0038.png,146,173,37,36,0
img0039.png,156,174,54,37,0
img0040.png,160,93,55,21,0
img0041.png,120,92,28,27,0
img0042.png,170,160,34,12,0
img0043.png,128,67,22,44,0
img0044.png,118,128,42,20,0
img0045.png,107,131,10,31,0
img0046.png,103,159,37,29,0
img0047.png,177,85,15,47,0
img0048.png,102,99,44,12,0
img0049.png,135,94,44,32,0
img0050.png,81,145,29,36,0
img0051.png,73,158,14,25,0
img0052.png,178,99,43,46,0
img0053.png,103,163,32,45,0
img0054.png,174,89,50,37,0
img0055.png,80,73,14,57,0
img0056.png,81,170,52,46,0
img0057.png,138,151,38,42,0
img0058.png,86,155,57,16,0
img0059.png,113,85,10,51,0
img0060.png,66,88,55,33,0
img0061.png,144,156,15,14,0
img0062.png,122,164,38,32,0
img0063.png,88,133,40,17,0
img0064.png,168,129,53,47,0
img0065.png,85,126,50,27,0
img0066.png,133,93,43,37,0
img0067.png,71,107,39,52,0
img0068.png,122,166,17,54,0
img0069.png,67,76,37,58,0
img0070.png,141,118,37,25,0
img0071.png,131,150,25,15,0
img0072.png,157,139,35,14,0
img0073.png,88,82,13,47,0
img0074.png,126,176,25,46,0
img0075.png,90,145,20,10,0
img0076.png,162,176,52,25,0
img0077.png,143,75,24,58,0
img0078.png,69,91,45,52,0
img0079.png,89,67,34,51,0
img0080.png,162,156,24,24,0
img0081.png,100,117,49,42,0
img0082.png,160,172,40,43,0
img0083.png,66,118,58,21,0
img0084.png,90,144,57,28,0
img0085.png,161,81,47,16,0
img0086.png,169,128,25,32,0
img0087.png,151,74,22,32,0
img0088.png,139,161,12,11,0
img0089.png,95,126,27,25,0
img0090.png,151,164,29,36,0
img0091.png,109,115,15,45,0
img0092.png,127,111,29,22,0
img0093.png,150,127,24,20,0
img0094.png,83,128,48,43,0
img0095.png,97,142,53,25,0
img0096.png,89,152,21,43,0
img0097.png,86,111,59,16,0
img0098.png,81,150,42,44,0
img0099.png,136,74,38,15,0
img0100.png,74,102,43,39,0
img0101.png,176,70,51,21,0
img0102.png,75,154,24,37,0
img0103.png,128,69,21,13,0
img0104.png,159,178,37,37,0
img0105.png,131,91,49,59,0
img0106.png,74,84,16,35,0
img0107.png,78,94,45,11,0
img0108.png,130,89,37,59,0
img0109.png,166,88,26,49,0
img0110.png,83,70,56,47,0
img0111.png,107,172,12,29,0
img0112.png,142,130,24,48,0
img0113.png,74,102,45,41,0
img0114.png,112,88,42,51,0
img0115.png,164,179,35,19,0
img0116.png,121,105,23,38,0
img0117.png,116,80,32,32,0
img0118.png,81,91,59,59,0
img0119.png,121,128,24,58,0
